BankNumber,Long Name,BankName,Y1FININV06,Y1FININV07,Y1FININV08,Y1FININV09,Y1FININV10,Y2LOANS06,Y2LOANS07,Y2LOANS08,Y2LOANS09,Y2LOANS10,X1FINFUNDS06,X1FINFUNDS07,X1FINFUNDS08,X1FINFUNDS09,X1FINFUNDS10,X2LABOR06,X2LABOR07,X2LABOR08,X2LABOR09,X2LABOR10,X3CAPITAL06,X3CAPITAL07,X3CAPITAL08,X3CAPITAL09,X3CAPITAL10,P1FININV06,P1FININV07,P1FININV08,P1FININV09,P1FININV10,P2LOANS06,P2LOANS07,P2LOANS08,P2LOANS09,P2LOANS10,W1FINFUNDS06,W1FINFUNDS07,W1FINFUNDS08,W1FINFUNDS09,W1FINFUNDS10,W2LABOR06,W2LABOR07,W2LABOR08,W2LABOR09,W2LABOR10,W3CAPITAL06,W3CAPITAL07,W3CAPITAL08,W3CAPITAL09,W3CAPITAL10
1,Export-Import Bank,Export-Import Bank,8064,2222,3137,3211,3125,61785,71372,78622,82866,81996,26162,25128,25349,22990,25019,203,207,205,205,202,494,487,481,478,505,0.0001,0.0005,0.0131,0.0078,0.0099,0.0494,0.0449,0.0362,0.0182,0.0125,0.0776,0.0846,0.0705,0.0327,0.0186,1.7931,1.7729,1.761,1.7756,1.7178,0.2935,0.2669,0.2723,0.272,0.2455
2,Bank of Taiwan,Bank of Taiwan,276949,239645,217155,194182,904580,1488234,1925883,1999742,2058748,2091100,2133665,2465672,2947330,3189111,3171493,6791,8217,8125,8061,7951,74448,82011,79931,78452,76576,0.0287,0.034,0.0329,0.0243,0.0093,0.0267,0.0279,0.0308,0.0162,0.0156,0.0252,0.023,0.0194,0.0096,0.0077,1.455,1.3969,1.3946,1.3893,1.434,0.0631,0.0762,0.0784,0.0703,0.073
3,Taipei Fubon Bank,Taipei Fubon Bank,108841,115083,104619,81800,392491,617985,662278,758269,835739,866282,888453,877014,1014222,1135907,1222499,6092,6259,6549,6145,6434,13404,13262,12975,12386,12082,0.1731,0.072,0.0725,0.0578,0.0132,0.0318,0.0339,0.0321,0.0171,0.0164,0.0137,0.0186,0.0169,0.007,0.005,0.8551,0.9192,0.9495,0.9937,1.0036,0.4696,0.5008,0.5079,0.5001,0.5901
4,Bank of Kaohsiung,Bank of Kaohsiung,30733,27940,18567,15287,16740,99567,112496,138424,139665,163054,121315,130499,159665,161921,189169,857,887,939,923,914,2984,2932,2346,2285,2237,0.028,0.0321,0.0384,0.0192,0.0243,0.0315,0.0315,0.0297,0.0176,0.0156,0.0163,0.0158,0.0157,0.0083,0.0055,1.2941,1.31,1.2599,1.2784,1.3895,0.1883,0.1988,0.2634,0.2398,0.2499
5,Land Bank,Land Bank,240812,194304,233576,255176,227086,1369330,1449698,1563891,1593615,1706964,1481201,1548524,1681447,1745395,1846028,5742,5782,5813,5957,5732,47797,45993,23070,22872,22634,0.0129,0.0166,0.0121,0.0089,0.0141,0.0291,0.0301,0.0316,0.0182,0.0166,0.0186,0.0213,0.0217,0.0089,0.0066,1.6703,1.4728,1.4576,1.3601,1.4656,0.1031,0.1055,0.2091,0.1868,0.1937
6,Cooperative Bank,Cooperative Bank,167760,347608,298342,412985,502569,1734526,1745691,1848838,1814493,1799753,1900844,1982102,2060957,2149455,2220071,8463,8803,8916,9002,8835,33993,33864,34032,33868,33638,0.0357,0.0194,0.0203,0.0103,0.0074,0.0256,0.0301,0.0309,0.0194,0.0177,0.0173,0.019,0.0193,0.0089,0.007,1.2661,1.3445,1.3891,1.389,1.4538,0.1585,0.1802,0.1814,0.1708,0.1699
7,First Bank,First Bank,341503,318170,337611,516476,507630,979893,1079681,1169533,1108130,1260072,1389180,1446747,1400668,1531093,1602733,7074,7021,7144,7038,7048,23386,23601,23212,22793,22843,0.0198,0.026,0.0241,0.0103,0.0099,0.0328,0.0334,0.0324,0.0196,0.0175,0.0161,0.0182,0.0178,0.0075,0.0049,1.2289,1.2659,1.3172,1.2889,1.3422,0.2094,0.2176,0.217,0.208,0.2078
8,Hua Nan Bank,Hua Nan Bank,175867,201389,332461,423501,393020,1030505,1063760,1133780,1117043,1256618,1316426,1333171,1414955,1537165,1595039,7220,7054,7195,7073,7126,22481,23000,23912,23106,24907,0.0554,0.0514,0.0322,0.0141,0.0137,0.0307,0.0333,0.0324,0.0187,0.0162,0.0159,0.0175,0.0159,0.0072,0.0053,1.2205,1.2869,1.2418,1.2876,1.3305,0.2383,0.2432,0.2324,0.2175,0.2005
9,Chang Hwa Bank,Chang Hwa Bank,256027,194842,222366,274348,257105,875145,921046,991595,1023560,1060005,1042333,1040862,1151373,1234182,1267731,6094,6357,6529,6491,6428,25071,25026,24800,24243,23778,0.0224,0.0355,0.0266,0.012,0.015,0.0334,0.0336,0.032,0.0181,0.0168,0.0188,0.0215,0.0177,0.0078,0.0051,1.1894,1.1575,1.1521,1.1715,1.3175,0.1491,0.1678,0.1758,0.1667,0.1694
10,Mega Bank,Mega Bank,279048,288894,232011,409882,344886,1126008,1203917,1316097,1277557,1332661,1129310,1274000,1385993,1517176,1589474,4908,5103,5169,5105,5033,15530,14888,16190,14804,13568,0.0376,0.0302,0.0391,0.0129,0.0147,0.0348,0.0373,0.0353,0.0214,0.0183,0.032,0.0299,0.0247,0.0089,0.0061,1.8816,1.7084,1.6686,1.8585,2.1661,0.3467,0.3784,0.6863,0.3444,0.5887
